name,address,lat,lng
平塚店,神奈川県中郡大磯町高麗3-2-35,35.325039,139.33065
調布店,東京都調布市深大寺北町4-30-1,35.681219,139.553926
小牧北外山店,愛知県小牧市掛割町32,35.27547,136.924922
知立店,愛知県知立市上重原町恩田207番,35.004962,137.023013
稲沢小池店,愛知県稲沢市小池3-10-34,35.249825,136.814932
丸亀店,香川県丸亀市柞原町421-1,34.269586,133.803667
"東戸塚店
（4/23(木)のみ　営業時間変更）",神奈川県横浜市戸塚区品濃町549-2　三宅ビル1階,35.431336,139.558069
大牟田店,福岡県大牟田市旭町2-28-1,33.036225,130.453004
高知朝倉店,高知県高知市朝倉東町51-17,33.543038,133.49903
飯塚柏の森店,福岡県飯塚市柏の森6-2,33.644236,130.708224
大分わさだ店,大分県大分市大字市1108,33.185164,131.570839
三豊店,香川県三豊市豊中町上高野1958,34.144743,133.701495
松山天山店,愛媛県松山市天山1-10-30,33.823176,132.778502
市原店,千葉県市原市五井字下場5636-1,35.521901,140.092748
熊本本山店,熊本県熊本市中央区世安一丁目2番79号,32.78423,130.699873
高知潮江店,高知県高知市北新田町18-35,33.551764,133.553535
大垣中野町店,岐阜県大垣市中野町2-86-1,35.378893,136.607609
紀伊田辺店,和歌山県田辺市稲成町46-1,33.739803,135.372662
館山店,千葉県館山市大字高井字上畑作1794,35.008305,139.872286
新居浜店,愛媛県新居浜市松木町3-36,33.941691,133.293158
福岡伊都店,福岡県福岡市西区西都1-18-10,33.580878,130.25891
豊明前後店,愛知県豊明市前後町三ツ谷1358-4,35.060031,136.986891
広島古市店,広島県広島市安佐南区古市1-25-24,34.449787,132.470112
大分元町店,大分県大分市大字大分4725,33.22265,131.61866
熊本新外店,熊本県熊本市東区新外1-1-60,32.799265,130.762881
ミューザ川崎店,神奈川県川崎市幸区大宮町1310　ミューザ川崎1F,35.530931,139.694807
福岡神松寺店,福岡県福岡市城南区神松寺1-1-1,33.558515,130.377153
高知インター店,高知県高知市高そね13-25,33.572641,133.557915
蒲郡店,愛知県蒲郡市竹谷町西ノ浜35-10,34.825317,137.212062
大分中津店,大分県中津市大字下池永119-1,33.588733,131.212692
都城都北店,宮崎県都城市都北町5948,31.764722,131.089827
イオンタウン弥富店,愛知県弥富市五明町蒲原1371-4,35.114893,136.71869
鹿屋寿店,鹿児島県鹿屋市寿4-1-56,31.387461,130.873437
宮崎恒久店,宮崎県宮崎市大字恒久字春日田1202番地1,31.886377,131.42512
